gene	oe_lof_upper	interaction
MTRR	0.983	cis_inter
MTSS1	0.212	cis_inter_intra
MTSS1L	0.309	cis_intra
MTURN	0.872	cis
MTUS1	0.695	cis_intra
MTX1	0.718	cis
MTX2	0.677	cis
MTX3	1.043	cis
MUC1	0.679	cis
MUC20	1.096	cis
MUC7	1.935	trans-inter
MUCL1	1.908	cis
MUL1	1.152	cis
MUM1	0.541	cis_intra
MUS81	0.986	cis
MUSTN1	1.826	cis
MUT	1.232	cis_intra
MUTYH	1.191	cis
MVB12A	1.131	cis
MVB12B	0.462	cis_inter
MVD	1.702	cis
MVK	0.545	cis
MVP	0.726	cis_inter
MX1	1.212	cis
MX2	0.798	cis
MXD1	0.669	cis_intra
MXD3	1.214	cis
MXI1	0.772	cis_inter_intra
MXRA7	1.644	cis_intra
MYADM	1.415	cis_intra
MYB	0.353	cis_intra
MYBBP1A	1.206	cis
MYBL1	0.08	cis_intra
MYBL2	0.437	cis_intra
MYBPC1	0.46	inter_intra
MYBPC2	0.964	inter_intra
MYBPC3	0.588	cis_intra
MYBPH	1.281	cis
MYBPHL	0.753	cis
MYCBP	0.489	cis
MYCBP2	0.115	inter_intra
MYCBPAP	0.639	cis
MYCL	0.665	cis
MYCT1	1.451	cis_intra
MYEF2	0.388	cis_intra
MYEOV	1.927	cis
MYH1	1.081	trans-intra
MYH10	0.167	inter_intra
MYH11	0.305	trans-intra
MYH14	0.332	cis_intra
MYH3	0.63	cis_intra
MYH6	0.856	cis
MYH7B	0.944	cis
MYH9	0.088	cis_inter_intra
MYL1	1.358	trans-intra
MYL12A	1.756	cis_intra
MYL12B	1.204	cis
MYL5	1.958	cis
MYL6	1.29	cis
MYL6B	1.405	cis
MYL9	1.488	cis
MYLIP	0.536	cis
MYLK	0.528	inter_intra
MYLK3	0.72	trans-intra
MYLK4	1.367	cis_inter_intra
MYO10	0.374	cis_inter_intra
MYO15A	0.8	inter_intra
MYO15B	1.064	cis_intra
MYO18A	0.287	cis_inter_intra
MYO18B	0.715	cis_inter_intra
MYO19	1.175	cis
MYO1B	0.43	inter_intra
MYO1C	0.68	cis
MYO1D	0.704	cis_inter_intra
MYO1E	0.442	cis_inter_intra
MYO1F	0.507	cis_intra
MYO1G	0.645	cis_intra
MYO5A	0.295	cis_inter_intra
MYO5B	0.688	cis_inter_intra
MYO6	0.419	cis_inter_intra
MYO7A	0.848	cis
MYO7B	0.733	cis_intra
MYO9A	0.304	cis_inter_intra
MYO9B	0.177	cis_inter_intra
MYOC	1.253	cis
MYOF	0.904	cis_intra
MYOM1	0.953	cis_inter_intra
MYOM2	1.484	cis_intra
MYOT	0.925	cis
MYOZ3	1.389	cis
MYPOP	0.602	cis
MYRF	0.117	cis
MYSM1	0.408	cis_intra
MYZAP	1.236	cis_intra
MZF1	1.082	cis_inter
MZT1	1.707	cis
MZT2A	1.961	cis
N4BP1	0.404	inter_intra
N4BP2	0.606	cis_intra
N4BP2L1	0.452	cis
N4BP2L2	0.904	trans-intra
N6AMT1	1.675	cis
NAA15	0.28	inter_intra
NAA25	0.108	cis
NAA30	0.228	cis_intra
NAA35	0.136	cis_intra
NAA38	1.494	cis
NAA40	1.281	cis
NAA50	0.545	cis
NAA60	0.596	cis_inter
NAA60	0.596	cis_inter
NAAA	1.232	cis
NAALAD2	1.09	cis_intra
NAALADL1	1.204	cis
NAB1	0.591	cis
NABP1	1.356	cis
NABP2	0.27	cis
NACA	0.698	cis_inter
NACAD	0.411	cis
NACC1	0.169	cis_intra
NACC2	0.754	cis_inter_intra
NADK	0.994	cis_inter
NADK2	0.52	cis_inter
NADSYN1	0.939	cis_intra
NAE1	0.941	inter_intra
NAF1	0.307	cis
NAGA	1.303	cis
NAGK	1.216	cis
NAGLU	0.903	cis
NAGPA	1.318	cis
NAGS	1.141	cis_intra
NAIF1	0.788	cis
NAIP	1.306	cis_intra
NAMPT	0.309	cis
NANOS3	1.179	cis
NAP1L1	0.184	trans-intra
NAP1L4	0.392	cis
NAPB	0.582	cis_intra
NAPEPLD	0.947	cis_intra
NAPG	0.55	cis
NAPSA	1.631	cis_intra
NARF	1.287	cis_intra
NARFL	1.064	cis
NARS	0.781	cis
NARS2	0.863	cis_inter_intra
NASP	0.276	cis
NAT1	1.886	cis_intra
NAT10	0.911	cis
NAT14	1.796	cis
NAT6	1	cis
NAT9	1.235	cis
NAV1	0.08	cis_inter_intra
NAV2	0.247	inter_intra
NBAS	0.777	inter_intra
NBEA	0.074	cis_inter_intra
NBEAL1	0.654	inter_intra
NBEAL2	0.32	cis
NBL1	1.023	cis
NBN	1.01	cis
NBPF1	1.147	cis
NBPF11	1.885	cis
NBPF12	1.827	cis
NBPF15	1.931	cis
NBPF3	1.151	cis
NBR1	0.652	cis_intra
NCALD	0.413	cis_inter_intra
NCAM1	0.185	cis_inter_intra
NCAPD2	0.582	cis
NCAPD3	0.489	cis_intra
NCAPG2	0.303	cis_inter_intra
NCAPH2	0.558	cis
NCBP1	0.094	cis
NCBP2	0.675	cis
NCDN	0.175	cis
NCEH1	0.72	cis_intra
NCF2	0.743	cis
NCF4	1.198	cis
NCK2	0.541	cis_inter_intra
NCKAP1	0.044	cis_intra
NCKAP1L	0.325	cis_intra
NCKAP5L	0.368	cis
NCKIPSD	0.608	cis_intra
NCL	0.177	cis
NCLN	0.395	cis
NCOA1	0.247	inter_intra
NCOA2	0.121	cis_inter_intra
NCOA3	0.335	cis_inter
NCOA4	0.703	cis
NCOA6	0.266	cis_inter_intra
NCOA7	0.521	cis_intra
NCOR1	0.175	cis_inter_intra
NCOR2	0.169	inter_intra
NCR1	1.454	cis
NCR3	1.449	cis
NCSTN	0.234	cis_intra
NDC1	0.237	trans-intra
NDC80	0.699	cis_intra
NDE1	0.69	cis_intra
NDEL1	0.296	cis_intra
NDFIP1	0.257	cis
NDFIP2	0.514	inter_intra
NDN	0.597	cis
NDOR1	1.082	cis
NDRG1	0.58	cis
NDRG2	0.753	cis_inter_intra
NDRG3	0.446	cis_inter_intra
NDRG4	0.579	trans-intra
NDST1	0.187	cis_intra
NDST2	0.419	cis
NDUFA10	1.097	cis_inter_intra
NDUFA11	1.536	cis_intra
NDUFA12	1.493	cis_intra
NDUFA13	1.772	cis
NDUFA2	0.609	cis
NDUFA3	1.473	cis
NDUFA5	1.372	trans-intra
NDUFA6	1.714	cis
NDUFA7	1.835	cis
NDUFA9	0.64	cis
NDUFAB1	0.749	cis
NDUFAF1	0.905	cis
NDUFAF2	1.601	trans-intra
NDUFAF4	0.718	cis
NDUFAF5	1.201	cis_intra
NDUFAF6	1.197	trans-intra
NDUFB1	1.897	cis
NDUFB10	1.094	cis
NDUFB11	0.556	cis
NDUFB2	1.855	cis
NDUFB4	1.428	cis
NDUFB5	1.26	cis
NDUFB6	1.668	cis
NDUFB7	1.667	cis
NDUFB8	0.983	cis
NDUFB9	1.044	cis
NDUFC2	0.8	cis
NDUFS1	0.808	cis_intra
NDUFS2	0.56	cis
NDUFS4	1.157	cis_intra
NDUFS5	1.353	cis_intra
NDUFS6	1.297	cis
NDUFS7	0.386	cis
NDUFS8	0.738	cis
NDUFV1	1.211	cis
NDUFV2	0.834	cis_intra
NDUFV3	1.866	cis
NEB	0.424	inter_intra
NEBL	1.139	cis_inter_intra
NECAB1	0.581	cis_intra
NECAB2	1.39	cis_intra
NECAP1	0.653	cis_inter_intra
NECAP2	1.451	cis
NEDD1	0.416	cis_intra
NEDD4	0.628	cis_inter_intra
NEDD4L	0.198	cis_inter_intra
NEDD8	0.481	cis
NEDD9	0.435	cis_intra
NEFH	1.064	cis_inter
NEIL2	1.736	cis_intra
NEIL3	1.081	inter_intra
NEK1	0.862	cis_intra
NEK11	1.224	cis_inter_intra
NEK2	0.818	cis_intra
NEK3	1.34	cis
NEK6	0.609	cis_inter
NEK7	0.386	inter_intra
NEK9	0.86	cis_intra
NELFA	0.514	cis
NELFB	0.603	cis_intra
NELFCD	0.441	cis
NELFE	0.562	cis
NELL2	0.249	cis_inter_intra
NEMF	0.415	cis_intra
NENF	1.446	cis
NEO1	0.347	cis_inter_intra
NET1	0.772	trans-intra
NETO1	0.496	trans-intra
NETO2	0.488	cis_intra
NEU1	0.838	cis_intra
NEU3	1.343	cis
NEU4	1.606	cis
NEURL1	0.739	trans-intra
NEURL1B	0.567	cis_intra
NEURL4	0.214	cis
NEXN	0.779	trans-intra
NF1	0.29	cis_inter_intra
NF2	0.086	inter_intra
NFAM1	1.223	trans-inter
NFAT5	0.205	cis_inter_intra
NFATC1	0.447	cis_inter_intra
NFATC2	0.187	inter_intra
NFATC3	0.264	cis_intra
NFATC4	0.358	cis
NFE2	0.515	cis
NFE2L1	0.251	cis
NFE2L2	0.663	cis
NFE2L3	1.314	cis
NFIA	0.202	cis_inter_intra
NFIB	0.225	cis_inter_intra
NFIC	0.542	cis_inter_intra
NFIL3	0.437	cis
NFIX	0.149	cis_inter_intra
NFKB1	0.138	cis_intra
NFKBIB	0.556	cis
NFKBID	0.533	cis_intra
NFKBIL1	0.58	cis_intra
NFRKB	0.368	cis
NFS1	0.53	trans-intra
NFU1	1.232	cis
NFX1	0.457	cis
NFXL1	0.506	cis_intra
NFYA	0.509	cis_inter
NFYC	0.491	cis_intra
NGLY1	0.95	cis_intra
NGRN	1.243	cis
NHEJ1	0.738	cis_inter_intra
NHLRC2	0.684	inter_intra
NHS	0.087	cis_inter_intra
NHSL1	0.375	cis_inter_intra
NHSL2	0.524	cis_intra
NID1	0.65	cis_inter_intra
NID2	0.559	cis
NIM1K	1.448	cis_intra
NIN	0.429	cis_inter_intra
NINJ1	1.184	cis
NINJ2	1.554	cis_inter
NINL	1.092	cis_inter_intra
NIPA1	1.04	cis
NIPA2	0.379	cis_intra
NIPAL2	1.413	cis_inter_intra
NIPAL3	0.844	cis_inter_intra
NIPAL4	0.884	cis
NIPBL	0.032	inter_intra
NIPSNAP1	0.535	cis
NIPSNAP3A	1.808	cis
NIPSNAP3B	1.611	cis
NIT1	1.085	cis
NKAP	0.172	cis
NKAPL	0.949	cis
NKD1	0.265	cis_inter_intra
NKIRAS1	1.363	cis
NKPD1	0.972	cis
NKTR	0.308	cis
NKX3-1	1.381	cis
NLE1	0.643	cis
NLGN2	0.126	cis
NLGN3	0.31	cis
NLK	0.113	cis_inter_intra
NLN	0.903	cis_inter_intra
NLRC3	1.243	cis
NLRC5	0.449	cis_inter
NLRP1	0.836	cis_inter_intra
NLRP12	1.355	cis_intra
NLRP2	1.487	cis_intra
NLRP3	0.519	cis_intra
NLRP6	0.647	cis
NLRP7	1.017	cis_intra
NLRX1	1.545	trans-intra
NMB	1.494	cis
NMD3	0.821	cis_intra
NME1	1.207	cis
NME2	1.462	cis
NME3	1.949	cis
NME4	1.565	cis
NME6	1.359	cis
NME7	0.909	cis_intra
NME8	1.339	cis_intra
NME9	1.303	cis_intra
NMI	1.119	cis_intra
NMNAT1	0.877	cis_intra
NMNAT2	0.265	cis_inter_intra
NMNAT3	1.85	cis_intra
NMRAL1	1.329	cis
NMRK1	1.489	cis
NMRK2	1.926	cis
NMT2	0.449	cis_intra
NMU	0.896	trans-inter
NNMT	1.864	cis_intra
NNT	0.311	cis_intra
NOA1	0.738	cis
NOC2L	1.327	cis
NOC3L	0.857	cis
NOC4L	0.619	cis
NOD1	1.165	trans-intra
NOD2	1.363	cis
NODAL	0.31	cis
NOG	0.417	cis
NOL10	0.431	trans-intra
NOL3	1.617	trans-inter
NOL6	0.182	cis
NOL8	0.825	cis_intra
NOL9	0.549	cis_intra
NOLC1	0.602	cis
NOM1	0.903	trans-intra
NOMO3	0.81	cis
NONO	0.244	trans-intra
NOP10	0.616	cis
NOP16	1.178	cis_inter
NOP56	0.404	cis
NOS1AP	0.423	cis_inter_intra
NOS3	0.502	cis
NOSIP	1.064	cis
NOTCH1	0.097	cis
NOTCH3	0.322	cis_intra
NOTCH4	0.742	cis_intra
NOXA1	1.032	cis
NOXRED1	0.761	cis_intra
NPAS1	0.319	cis
NPAS2	0.133	cis_intra
NPAT	0.367	cis_intra
NPC1	0.486	cis
NPC2	1.389	cis
NPDC1	0.736	cis
NPEPL1	1.073	cis_intra
NPEPPS	0.062	cis_intra
NPHP3	0.649	cis_intra
NPHP4	0.983	cis_inter_intra
NPIPA1	1.853	cis
NPIPB7	1.927	cis
NPL	1.137	cis_intra
NPLOC4	0.134	cis_inter_intra
NPM2	0.95	cis
NPNT	0.933	cis_intra
NPPA	1.741	cis
NPR3	0.819	cis_inter_intra
NPRL3	0.491	cis_inter_intra
NPTN	0.247	cis
NPTX2	0.731	cis
NPTXR	0.49	cis_inter
NPW	1.907	cis
NQO1	1.508	cis
NQO2	1.48	cis_intra
NR1D1	0.394	cis
NR1H2	0.473	cis_inter_intra
NR1H3	0.373	cis_intra
NR2C1	0.381	cis_intra
NR2C2	0.22	cis_intra
NR2E1	0.156	cis_intra
NR2F6	0.638	cis
NR3C1	0.32	trans-intra
NR3C2	0.35	inter_intra
NR4A3	0.36	trans-intra
NR5A1	0.262	trans-intra
NR6A1	0.305	cis_inter_intra
NRAP	0.999	inter_intra
NRAS	0.612	trans-intra
NRBP2	0.521	cis_inter
NRCAM	0.383	cis_inter_intra
NRDE2	0.768	cis_intra
NREP	1.46	cis_inter_intra
NRF1	0.189	cis_inter_intra
NRG1	0.258	cis_inter_intra
NRG4	1.327	inter_intra
NRIP1	0.279	cis
NRIP2	1.544	trans-intra
NRIP3	1.553	cis
NRM	0.995	cis
NRN1	0.464	cis_intra
NRP1	0.3	cis_intra
NRP2	0.475	cis_intra
NRROS	0.531	cis
NRXN2	0.258	trans-inter
NSA2	0.749	cis
NSD1	0.095	cis_inter
NSF	0.604	cis
NSFL1C	0.589	cis_inter
NSG1	1.286	cis_inter_intra
NSL1	0.89	cis_intra
NSMAF	0.679	cis_intra
NSMCE1	1.178	cis_intra
NSMCE2	0.862	inter_intra
NSMCE4A	0.622	cis_intra
NSMF	0.443	cis
NSRP1	0.576	cis_inter_intra
NSUN2	0.531	cis
NSUN3	1.289	trans-intra
NSUN4	0.914	cis_intra
NSUN5	1.298	cis
NSUN6	1.479	cis_intra
NSUN7	0.791	cis_intra
NT5C	1.252	cis
NT5C2	0.704	cis_inter
NT5C3A	0.703	trans-intra
NT5C3B	1.457	cis
NT5DC1	0.888	cis_intra
NT5DC2	0.723	cis_intra
NT5DC3	0.808	cis_inter_intra
NT5DC4	0.93	trans-intra
NT5E	1.181	cis_intra
NT5M	1.855	cis
NTAN1	1.104	cis
NTHL1	1.595	cis
NTN1	0.222	cis_inter_intra
NTN4	0.344	cis_intra
NTN5	1.739	cis
NTNG2	0.201	cis_inter_intra
NTPCR	1.278	cis_intra
NTRK1	0.658	trans-intra
NTSR1	1.37	cis_intra
NUAK1	0.496	cis_intra
NUAK2	0.772	cis
NUB1	0.581	cis_intra
NUBP2	1.2	cis
NUBPL	0.929	cis_inter_intra
NUCB1	0.852	cis_intra
NUCB2	1.131	cis_inter_intra
NUCKS1	0.312	cis
NUDC	0.382	trans-inter
NUDCD1	1.006	cis_inter_intra
NUDCD2	1.205	trans-intra
NUDCD3	0.491	cis_intra
NUDT10	1.239	cis
NUDT12	1.329	cis_intra
NUDT13	1.379	cis
NUDT14	1.639	cis
NUDT16	1.901	cis
NUDT17	1.175	cis
NUDT18	1.619	cis
NUDT19	1.975	trans-inter
NUDT2	1.45	cis
NUDT3	0.656	cis_inter_intra
NUDT4	0.492	cis_intra
NUDT5	0.88	cis
NUDT7	1.915	cis
NUDT8	1.805	cis
NUDT9	0.947	cis
NUF2	0.713	inter_intra
NUFIP2	0.196	cis
NUGGC	0.847	trans-intra
NUMA1	0.217	cis_inter_intra
NUMB	0.593	inter_intra
NUMBL	0.218	cis
NUP107	0.57	cis
NUP133	0.448	cis_inter_intra
NUP153	0.174	cis_intra
NUP155	0.323	cis_intra
NUP160	0.419	cis_intra
NUP188	0.297	cis_intra
NUP205	0.232	cis_intra
NUP210	0.729	cis_intra
NUP214	0.349	cis_inter_intra
NUP35	0.662	cis_intra
NUP37	0.928	trans-intra
NUP43	0.84	cis_intra
NUP50	0.548	cis_intra
NUP54	0.454	cis
NUP62	0.317	cis_intra
NUP62CL	1.49	cis_intra
NUP85	0.145	cis
NUP88	0.687	cis_inter_intra
NUP93	0.559	inter_intra
NUP98	0.122	cis_intra
NUPL2	1.284	cis
NUPR1	1.911	cis
NUS1	0.247	cis_inter
NUSAP1	0.596	trans-intra
NVL	0.923	cis_intra
NXF1	0.31	cis
NXF3	0.599	cis_intra
NXN	0.218	cis_inter_intra
NXNL2	0.808	cis
NXPE3	0.628	cis
NXT1	0.888	cis
NXT2	0.505	cis
NYNRIN	0.562	cis
OAF	1.181	cis
OARD1	1.337	cis_intra
OAS1	0.927	cis_intra
OAS2	1.249	cis_inter_intra
OAS3	1.27	cis_intra
OASL	1.553	cis
OAT	0.962	cis
OBSCN	0.873	inter_intra
OCEL1	1.162	cis
OCIAD1	1.072	cis_inter_intra
OCIAD2	1.34	cis
OCM	1.944	cis
ODF2	0.464	cis
ODF2L	1.222	cis_intra
ODF3B	1.105	cis
OFD1	0.322	cis
OGDH	0.274	cis
OGFOD1	1.25	cis_intra
OGFOD2	1.77	cis
OGFOD3	1.31	cis_inter
OGFR	0.717	cis
OGFRL1	0.754	cis
OGG1	1.299	cis
OGN	0.986	trans-intra
OGT	0.08	cis
OLA1	0.576	cis_inter_intra
OLAH	1.62	cis
OLFM1	0.223	cis_inter_intra
OLFM2	0.615	trans-intra
OLFM4	1.102	cis
OLFML1	1.233	cis
OLFML3	1.25	trans-intra
OLIG1	0.849	cis
OLIG2	1.308	cis
OLR1	0.796	trans-intra
OMA1	1.132	cis_intra
OMG	0.273	cis
OOSP1	0.969	cis_intra
OPA1	0.294	cis_intra
OPA3	1.134	trans-intra
OPHN1	0.161	trans-intra
OPN3	0.894	cis
OPRD1	1.193	cis_inter_intra
OPRL1	0.617	cis
OPTN	1.256	cis_inter
OR10AD1	1.299	cis
OR13A1	1.43	cis
OR2B11	1.585	cis
OR2H2	1.777	cis_intra
OR2T8	NA	cis
OR2W3	1.767	cis
OR51B6	1.833	cis
OR51E1	1.68	trans-intra
OR51E2	1.681	trans-intra
OR52K1	1.969	cis
OR52N2	1.902	cis
OR52N4	1.913	cis
OR6K3	1.89	cis
ORAI1	1.777	cis
ORAI2	0.916	cis
ORAOV1	1.382	trans-intra
ORC1	0.881	trans-intra
ORC2	0.364	cis_intra
ORC3	0.707	cis_intra
ORC4	1.13	trans-intra
ORC5	0.861	cis_intra
ORM1	1.29	cis
ORM2	1.347	cis
ORMDL1	1.158	cis
ORMDL3	0.591	cis
OS9	0.782	cis
OSBP2	0.514	inter_intra
OSBPL10	0.696	cis_inter_intra
OSBPL11	0.358	cis_intra
OSBPL1A	0.522	inter_intra
OSBPL2	0.481	cis
OSBPL3	0.538	cis_inter_intra
OSBPL5	0.555	cis_intra
OSBPL6	0.202	cis_intra
OSBPL7	0.444	cis_intra
OSBPL8	0.416	cis_inter_intra
OSBPL9	0.309	trans-intra
OSCAR	1.475	cis
OSCP1	1.14	inter_intra
OSER1	0.948	cis
OSGEP	1.084	cis
OSGEPL1	0.995	cis
OSGIN1	1.444	cis_intra
OSGIN2	0.427	cis_intra
OSMR	0.944	trans-intra
OSTC	1.043	cis_intra
OSTF1	0.856	cis_inter_intra
OSTM1	0.737	cis_inter_intra
OTOF	0.875	trans-inter
OTUB2	1.856	inter_intra
OTUD3	0.922	cis
OTUD4	0.212	trans-inter
OTUD6B	1.323	trans-intra
OTUD7A	0.333	cis_inter_intra
OTUD7B	0.478	cis_inter
OTX1	0.443	cis_intra
OVCH1-AS1	0.832	inter_intra
OVGP1	0.723	cis_intra
OXA1L	1.045	cis_intra
OXCT1	0.541	trans-intra
OXLD1	1.282	cis
OXNAD1	1.46	cis_inter_intra
OXR1	0.344	cis_inter_intra
OXSR1	0.368	trans-intra
P2RX1	1.206	cis
P2RX4	1.282	cis
P2RX5	1.267	cis
P2RX6	1.1	cis_intra
P2RX7	0.916	cis_inter
P2RY10	1.039	cis
P2RY11	1.823	cis
P2RY12	1.406	cis_intra
P2RY13	1.503	cis
P2RY14	1.338	cis_intra
P2RY2	0.91	cis
P2RY6	1.875	cis_inter
P2RY8	1.644	cis
P4HA1	0.344	trans-intra
P4HA2	0.657	cis_intra
P4HB	0.224	cis
P4HTM	1.005	cis
PAAF1	1.214	cis_intra
PABPC1	0.27	trans-intra
PABPC1L	0.621	cis_intra
PABPC4	0.232	cis
PABPN1	0.569	cis
PACRGL	1.694	cis
PACS1	0.185	cis_inter_intra
PACS2	0.279	inter_intra
PACSIN1	0.197	cis_inter_intra
PACSIN2	0.454	cis_inter_intra
PADI2	0.891	cis_inter_intra
PADI4	1.136	cis_intra
PAF1	0.622	cis
PAFAH1B1	0.107	cis_inter_intra
PAFAH1B2	0.364	cis_inter
PAFAH2	1.113	cis_intra
PAG1	0.685	cis_intra
PAIP1	0.198	trans-intra
PAIP2B	1.454	cis_intra
PAK1	0.563	cis_inter_intra
PAK1IP1	0.518	cis
PAK2	0.32	cis_inter
PAK4	0.784	cis_intra
PAK6	0.705	inter_intra
PALD1	0.907	cis
PALLD	0.508	cis_inter_intra
PALM	0.517	cis_intra
PALMD	0.698	trans-intra
PAM	0.52	cis_inter_intra
PAM16	0.86	cis_inter
PAN3	0.15	cis_inter_intra
PANK1	0.687	cis
PANK2	0.967	cis_intra
PANK3	0.893	cis
PANK4	0.304	cis
PANX1	1.117	cis_intra
PANX2	1.222	cis
PAOX	1.353	cis
PAPD4	0.772	cis_intra
PAPD5	0.208	inter_intra
PAPD7	0.186	cis
PAPLN	1.141	cis
PAPOLA	0.177	cis
PAPSS1	0.792	cis_inter_intra
PAPSS2	0.955	cis
PAQR3	0.916	trans-intra
PAQR4	1.697	cis
PAQR5	0.705	cis_inter_intra
PAQR6	1.523	cis
PAQR8	0.759	cis
PAQR9	0.783	cis
PARD3	0.306	inter_intra
PARD6A	1.016	cis
PARD6G	0.876	cis_inter_intra
PARG	0.421	cis_intra
PARK7	0.529	cis_intra
PARL	0.745	cis_intra
PARM1	1.215	trans-intra
PARN	0.519	cis_inter_intra
PARP1	0.479	cis_inter_intra
PARP10	0.74	cis_inter
PARP11	1.189	cis_intra
PARP12	0.768	cis_intra
PARP14	0.395	cis_intra
PARP15	0.961	cis_inter_intra
PARP16	1.478	cis_inter_intra
PARP2	0.99	cis
PARP4	0.837	cis_intra
PARP6	0.186	cis
PARP8	0.391	cis_inter_intra
PARP9	0.814	cis
PARPBP	1.453	trans-intra
PARS2	0.882	cis
PARVA	0.465	trans-intra
PARVB	1.278	cis_inter_intra
PARVG	0.896	cis_intra
PASK	0.965	cis_inter
PATL1	0.316	trans-intra
PATL2	0.979	cis_intra
PAWR	0.704	trans-intra
PAX5	0.165	cis_inter
PAX8	0.2	cis_intra
PAXBP1	0.19	trans-intra
PAXIP1	0.099	cis
PAXIP1-AS2	1.238	cis
PBDC1	0.698	cis_intra
PBK	1.213	cis
PBLD	1.57	cis_intra
PBRM1	0.129	trans-inter
PBX1	0.255	cis_inter_intra
PBX2	0.234	cis
PBX3	0.476	inter_intra
PBX4	1.032	cis_inter_intra
PBXIP1	0.922	cis
PC	0.435	inter_intra
PCBD1	1.835	cis
PCBD2	1.36	cis_intra
PCBP3	0.386	cis_inter_intra
PCCA	0.906	cis_inter_intra
PCCB	0.894	cis
PCDH1	0.243	cis
PCDH12	0.98	cis_intra
PCDH9	0.372	inter_intra
PCDHGB6	0.773	cis
PCED1A	0.601	cis
PCED1B	NA	cis_inter_intra
PCF11	0.04	trans-intra
PCGF2	0.411	cis_intra
PCGF3	0.338	cis
PCGF5	0.303	cis_inter_intra
PCID2	1.078	cis_inter
PCIF1	0.155	cis_inter_intra
PCK2	1.393	cis_inter
PCM1	0.577	cis_inter_intra
PCMT1	0.455	cis_intra
PCMTD1	0.555	cis_intra
PCMTD2	0.782	cis_inter
PCNA	0.261	cis_intra
PCNP	0.502	cis
PCNT	0.821	cis_inter_intra
PCOLCE2	1.221	cis_intra
PCP2	1.696	cis
PCP4	1.773	cis_intra
PCP4L1	1.644	cis
PCSK1N	1.254	cis
PCSK4	0.964	cis
PCSK5	0.499	cis_inter_intra
PCSK6	0.734	cis_inter_intra
PCSK7	0.514	cis
PCSK9	1.341	cis
PCTP	1.675	cis_inter_intra
PCYOX1L	1.322	cis
PCYT1A	0.858	cis_inter
PCYT1B	0.403	cis_intra
PCYT2	0.702	cis
PDAP1	0.806	cis
PDCD1	0.662	cis
PDCD10	0.325	cis_intra
PDCD11	0.594	cis
PDCD1LG2	1.282	cis_intra
PDCD2	1.372	cis
PDCD5	1.167	cis
PDCD6	0.945	trans-inter
PDCD6IP	0.36	cis_intra
PDCD7	1.122	trans-intra
PDCL	0.616	inter_intra
PDE12	0.598	trans-intra
PDE1B	0.43	cis_inter
PDE2A	0.348	cis_inter_intra
PDE3A	0.515	inter_intra
PDE3B	0.506	inter_intra
PDE4A	0.307	cis
PDE4B	0.395	inter_intra
PDE4D	0.206	cis_inter_intra
PDE4DIP	0.824	cis
PDE5A	0.51	trans-intra
PDE6B	1.187	cis
PDE6C	0.866	cis
PDE6D	1.018	cis_inter_intra
PDE6G	1.657	cis
PDE6H	1.807	cis
PDE7A	0.585	inter_intra
PDE7B	0.416	inter_intra
PDE8A	0.532	inter_intra
PDE8B	0.249	cis_inter_intra
PDE9A	0.485	cis_inter_intra
PDF	1.904	cis
PDGFA	0.483	cis
PDGFB	0.463	cis_intra
PDGFC	0.198	cis_intra
PDGFD	0.728	inter_intra
PDGFRA	0.169	trans-inter
PDGFRB	0.325	inter_intra
PDHA1	0.266	cis_intra
PDHB	0.553	cis
PDHX	0.718	cis
PDIA3	0.25	cis
PDIA4	0.509	cis_intra
PDIA5	0.837	cis
PDIK1L	0.643	trans-inter
PDK1	0.812	cis
PDK2	0.919	cis
PDK3	0.546	cis_intra
PDK4	1.241	trans-intra
PDLIM1	0.873	cis
PDLIM2	0.836	cis_intra
PDLIM4	0.242	cis_intra
PDLIM5	0.552	cis_inter_intra
PDLIM7	0.425	cis
PDP1	0.49	trans-intra
PDP2	0.966	trans-intra
PDPR	0.676	cis_intra
PDS5A	0.196	cis_inter_intra
PDS5B	0.18	cis_inter_intra
PDSS1	0.928	cis_intra
PDSS2	1.133	cis_inter_intra
PDXDC1	0.846	cis_inter_intra
PDXK	0.438	cis
PDZD2	0.277	cis_inter_intra
PDZD3	1.266	cis
PDZD4	0.4	cis
PDZD7	1.134	cis
PDZD8	0.203	cis_inter_intra
PDZK1	1.714	trans-intra
PDZK1IP1	1.602	cis
PDZRN3	0.303	trans-intra
PEAK1	0.442	cis_inter_intra
PEAR1	0.888	cis
PEBP1	0.886	cis
PEBP4	1.287	inter_intra
PECR	1.288	cis_intra
PEF1	1.058	cis
PEG10	0.427	cis
PELI1	0.509	cis_intra
PELI2	0.408	cis_inter_intra
PELI3	0.658	cis
PELO	0.91	cis
PEMT	0.666	cis_inter_intra
PEPD	1.258	cis_intra
PER1	0.466	cis
PER3	0.841	cis_inter_intra
PERP	0.927	cis
PES1	0.376	cis_intra
PET100	1.823	cis
PEX10	0.86	cis
PEX11G	1.66	cis_inter_intra
PEX12	1.847	cis
PEX13	1.015	trans-intra
PEX14	0.518	cis_inter_intra
PEX19	0.935	cis_inter
PEX2	1.198	cis
PEX26	0.366	trans-intra
PEX3	0.558	cis_intra
PEX5	0.59	cis
PEX6	0.648	cis
PEX7	1.416	cis_inter_intra
PF4V1	1.913	cis
PFAS	0.773	cis
PFDN5	1.329	cis
PFDN6	0.343	cis_intra
PFKFB2	0.775	trans-intra
PFKFB3	0.447	cis_inter_intra
PFKFB4	0.957	cis
PFKL	1.035	cis
