gene	oe_lof_upper	interaction
ARHGAP39	0.449	cis
ARHGAP42	0.155	cis_inter_intra
ARHGAP44	0.22	cis_inter_intra
ARHGAP5	0.263	cis_intra
ARHGAP6	0.228	cis_inter_intra
ARHGAP8	1.751	cis_inter_intra
ARHGAP9	0.836	cis_intra
ARHGDIB	1.297	trans-intra
ARHGDIG	0.367	trans-intra
ARHGEF1	0.342	cis_intra
ARHGEF10	0.976	cis_inter_intra
ARHGEF10L	0.442	inter_intra
ARHGEF11	0.215	cis_intra
ARHGEF12	0.179	inter_intra
ARHGEF17	0.293	cis
ARHGEF18	0.455	cis_inter_intra
ARHGEF19	1.151	cis
ARHGEF25	0.851	cis
ARHGEF26	0.99	cis_intra
ARHGEF28	0.704	trans-intra
ARHGEF3	0.515	cis_inter_intra
ARHGEF37	1.07	trans-intra
ARHGEF39	1.278	cis
ARHGEF4	0.553	trans-intra
ARHGEF40	0.5	cis
ARHGEF5	0.983	cis
ARHGEF6	0.136	cis
ARHGEF7	0.187	cis_inter
ARHGEF9	0.151	trans-intra
ARID1A	0.071	cis_inter_intra
ARID1B	0.102	cis_inter_intra
ARID2	0.096	cis_inter_intra
ARID3A	0.276	cis_intra
ARID3B	0.472	cis_inter_intra
ARID4A	0.139	trans-intra
ARID4B	0.187	inter_intra
ARID5A	0.35	cis
ARID5B	0.11	inter_intra
ARIH1	0.166	inter_intra
ARIH2	0.283	cis
ARL1	0.696	cis_intra
ARL11	1.886	cis
ARL13B	1.037	trans-intra
ARL14EP	0.693	cis
ARL15	1.196	cis_inter_intra
ARL16	1.867	cis
ARL17B	1.835	cis_intra
ARL3	1.097	cis_inter
ARL4D	1.197	cis
ARL5A	0.798	cis_intra
ARL5B	1.048	cis
ARL6IP1	0.777	cis
ARL6IP4	0.95	cis
ARL6IP5	1.254	cis
ARL8A	0.354	cis
ARL8B	0.649	cis
ARL9	0.862	cis
ARMC1	0.466	cis
ARMC10	1.097	cis
ARMC12	1.053	cis
ARMC2	0.79	cis_intra
ARMC5	0.491	cis
ARMC6	1.241	cis_intra
ARMC7	1.214	cis
ARMC8	0.172	trans-intra
ARMCX4	0.122	cis_intra
ARNT	0.279	cis_inter
ARNT2	0.291	cis_inter_intra
ARNTL	0.277	cis_inter_intra
ARNTL2	0.878	inter_intra
ARPC1A	0.416	cis
ARPC1B	0.645	cis
ARPC2	0.168	cis_inter_intra
ARPC3	0.683	cis
ARPC4	0.265	cis
ARPC5	0.526	cis
ARPC5L	0.718	trans-intra
ARPP19	0.608	cis_intra
ARRB1	0.262	cis_intra
ARRB2	0.444	cis_inter
ARRDC1	1.198	cis
ARRDC2	1.282	cis
ARRDC4	1.128	trans-intra
ARRDC5	1.454	cis_inter
ARSA	1.34	cis
ARSB	1.062	trans-intra
ARSD	0.858	cis
ARSG	1.147	cis_inter_intra
ART4	1.072	trans-intra
ARV1	1.255	cis_intra
ARVCF	0.823	cis_inter
AS3MT	1.306	cis
ASAH1	1.18	cis_intra
ASAH2B	1.697	cis
ASAP1	0.188	cis_inter_intra
ASAP3	0.711	cis_intra
ASB1	0.939	cis
ASB13	1.778	cis_intra
ASB14	1.691	cis
ASB16	1.587	cis
ASB2	1.218	trans-intra
ASB3	0.899	inter_intra
ASB6	0.971	cis
ASB7	0.28	cis_intra
ASB8	1.327	cis
ASB9	0.578	cis
ASCC1	1.317	cis
ASCC2	0.446	cis_intra
ASCC3	0.568	cis_inter_intra
ASCL2	1.819	cis
ASF1A	0.485	cis_inter_intra
ASF1B	1.531	cis
ASGR1	1.737	cis_intra
ASGR2	1.53	cis_intra
ASH1L	0.062	inter_intra
ASIC1	0.344	trans-intra
ASIC3	0.828	cis
ASL	0.936	cis
ASMT	1.934	cis
ASMTL	0.997	cis_intra
ASNA1	0.352	cis
ASNS	0.74	cis_intra
ASNSD1	1.47	cis_intra
ASPDH	1.409	cis
ASPH	0.821	cis_intra
ASPHD2	0.541	cis
ASPM	0.743	trans-intra
ASPRV1	1.288	cis
ASPSCR1	0.966	cis_intra
ASRGL1	1.391	cis_inter
ASS1	0.984	cis_intra
ASTE1	1.138	cis
ASTL	1.132	cis
ASTN2	0.246	cis_inter_intra
ASXL1	0.794	cis_inter
ASXL2	0.146	inter_intra
ATAD2	0.273	cis_intra
ATAD2B	0.155	trans-intra
ATAD3A	0.827	cis
ATAD3B	1.477	cis_inter
ATAD3C	1.174	cis
ATAT1	0.816	cis
ATE1	0.479	cis_intra
ATF1	0.477	cis_intra
ATF2	0.283	trans-intra
ATF3	0.893	trans-intra
ATF4	1.091	cis
ATF5	0.78	cis
ATF6	0.698	cis_inter_intra
ATF6B	0.7	cis_inter
ATF7	0.205	trans-intra
ATF7IP	0.213	cis_intra
ATF7IP2	0.471	cis_inter_intra
ATG10	1.356	cis_inter_intra
ATG12	1.74	cis
ATG13	0.328	cis_inter
ATG14	0.465	cis_intra
ATG16L1	0.319	cis_inter_intra
ATG16L2	1.08	trans-intra
ATG2B	0.435	cis_intra
ATG4A	0.262	cis_intra
ATG4B	0.337	cis
ATG4C	1.405	cis_intra
ATG4D	0.717	cis
ATG5	0.295	cis_inter_intra
ATG7	0.936	cis_inter_intra
ATG9B	1.107	cis
ATIC	1.248	cis_intra
ATL1	0.308	cis_intra
ATL3	0.904	cis_intra
ATM	0.71	cis_intra
ATMIN	0.771	cis
ATN1	0.194	trans-intra
ATOH8	0.379	cis
ATOX1	1.065	cis
ATP10A	0.427	cis_intra
ATP10D	0.787	cis_inter_intra
ATP11A	0.467	cis_inter
ATP11B	0.406	cis_intra
ATP11C	0.232	cis_inter_intra
ATP13A1	0.294	cis
ATP13A2	0.584	cis
ATP13A3	0.22	cis_inter_intra
ATP13A4	0.947	cis_inter_intra
ATP1A2	0.495	cis_intra
ATP1A3	0.062	cis_intra
ATP1A4	0.938	cis
ATP1B1	0.153	cis
ATP1B2	0.624	cis
ATP1B3	0.683	cis_intra
ATP2A1	0.833	cis
ATP2A2	0.246	trans-inter
ATP2A3	0.655	cis
ATP2B4	0.444	cis_inter_intra
ATP2C1	0.182	trans-intra
ATP2C2	1.838	cis_intra
ATP5A1	0.182	cis
ATP5C1	0.812	cis
ATP5D	1.457	cis
ATP5F1	0.867	cis
ATP5G1	0.891	cis
ATP5G2	1.659	cis_intra
ATP5G3	0.826	cis
ATP5H	1.387	cis
ATP5L	1.55	cis
ATP5O	0.777	cis
ATP5SL	1.367	cis_intra
ATP6AP1L	0.915	cis_intra
ATP6V0A1	0.268	cis_inter_intra
ATP6V0A2	0.748	cis_inter
ATP6V0B	0.278	cis
ATP6V0D1	0.268	cis
ATP6V0E1	0.943	trans-intra
ATP6V0E2	1.189	cis
ATP6V1A	0.358	cis_intra
ATP6V1B2	0.287	trans-intra
ATP6V1C1	0.765	cis_intra
ATP6V1D	0.894	cis_intra
ATP6V1E1	0.514	cis_intra
ATP6V1E2	1.229	cis_intra
ATP6V1G1	1.252	cis
ATP6V1G2	1.238	cis
ATP6V1H	0.631	cis_inter_intra
ATP7A	0.216	trans-intra
ATP7B	1.188	cis_intra
ATP8A1	0.346	cis_inter_intra
ATP8B1	0.56	trans-intra
ATP8B2	0.407	cis
ATP8B3	1.011	cis
ATP8B4	1.094	cis_inter_intra
ATP9A	0.205	cis_inter_intra
ATP9B	0.689	cis_inter_intra
ATPAF1	0.716	cis_intra
ATPAF2	1.438	cis_intra
ATPIF1	1.763	cis
ATR	0.399	trans-inter
ATRIP	0.637	cis_intra
ATRN	0.195	cis_inter_intra
ATRX	0.119	inter_intra
ATXN1	0.316	cis_inter_intra
ATXN10	0.697	cis_inter_intra
ATXN1L	0.305	inter_intra
ATXN2	0.333	inter_intra
ATXN2L	0.143	cis
ATXN3	0.492	cis
ATXN7	0.328	trans-intra
ATXN7L1	0.221	cis_inter_intra
ATXN7L2	0.377	cis
AUH	0.964	cis_inter_intra
AURKAIP1	1.77	cis
AURKB	0.732	cis
AURKC	0.726	cis
AUTS2	0.253	cis_inter_intra
AVEN	1.414	cis_inter_intra
AVIL	0.778	trans-intra
AVL9	0.533	cis_intra
AVP	1.452	cis
AXIN1	0.403	cis_inter
AXIN2	0.396	cis_inter
AXL	0.437	trans-intra
AZI2	0.687	cis_inter
AZIN1	0.237	cis_inter
B2M	0.709	cis
B3GALNT1	0.999	trans-intra
B3GALNT2	0.843	cis_intra
B3GALT2	0.39	cis_intra
B3GALT6	1.425	cis
B3GAT1	0.643	cis
B3GAT2	1.352	cis_inter_intra
B3GAT3	1.331	cis
B3GNT2	0.413	cis_intra
B3GNT3	0.541	cis
B3GNT4	1.502	cis
B3GNT5	0.485	cis_intra
B3GNT7	0.495	cis
B3GNT8	1.538	cis
B3GNT9	1.792	cis
B3GNTL1	1.795	cis_intra
B4GALNT3	0.775	cis_inter
B4GALNT4	0.578	cis
B4GALT1	0.704	cis_inter_intra
B4GALT4	1.137	cis
